location,year,sex,age,number,population,rate
Androscoggin,2001,Both,All Ages,1,104260,1
Androscoggin,2002,Both,All Ages,2,105063,1.9
Androscoggin,2003,Both,All Ages,1,106140,0.9
Androscoggin,2004,Both,All Ages,6,106867,5.6
Androscoggin,2005,Both,All Ages,5,107352,4.7
Androscoggin,2006,Both,All Ages,10,107932,9.3
Androscoggin,2007,Both,All Ages,21,107739,19.5
Androscoggin,2008,Both,All Ages,36,108284,33.2
Androscoggin,2009,Both,All Ages,56,107830,51.9
Androscoggin,2010,Both,All Ages,38,107661,35.3
Androscoggin,2011,Both,All Ages,58,107353,54
Androscoggin,2012,Both,All Ages,80,107506,74.4
Androscoggin,2013,Both,All Ages,72,107391,67
Androscoggin,2014,Both,All Ages,95,107440,88.4
Androscoggin,2015,Both,All Ages,51,107233,47.6
Androscoggin,2016,Both,All Ages,92,107233,85.8
Aroostook,2001,Both,All Ages,1,72962,1.4
Aroostook,2002,Both,All Ages,1,72942,1.4
Aroostook,2003,Both,All Ages,4,72944,5.5
Aroostook,2004,Both,All Ages,2,72959,2.7
Aroostook,2005,Both,All Ages,2,72881,2.7
Aroostook,2006,Both,All Ages,0,72827,0
Aroostook,2007,Both,All Ages,2,72711,2.8
Aroostook,2008,Both,All Ages,4,72542,5.5
Aroostook,2009,Both,All Ages,7,72258,9.7
Aroostook,2010,Both,All Ages,4,71704,5.6
Aroostook,2011,Both,All Ages,3,71330,4.2
Aroostook,2012,Both,All Ages,1,70744,1.4
Aroostook,2013,Both,All Ages,3,70039,4.3
Aroostook,2014,Both,All Ages,5,69447,7.2
Aroostook,2015,Both,All Ages,2,68628,2.9
Aroostook,2016,Both,All Ages,1,68628,1.5
Cumberland,2001,Both,All Ages,14,268391,5.2
Cumberland,2002,Both,All Ages,45,270533,16.6
Cumberland,2003,Both,All Ages,30,273041,11
Cumberland,2004,Both,All Ages,58,274920,21.1
Cumberland,2005,Both,All Ages,70,276275,25.3
Cumberland,2006,Both,All Ages,96,277084,34.6
Cumberland,2007,Both,All Ages,166,278781,59.5
Cumberland,2008,Both,All Ages,227,280681,80.9
Cumberland,2009,Both,All Ages,279,281969,98.9
Cumberland,2010,Both,All Ages,180,281390,64
Cumberland,2011,Both,All Ages,270,282651,95.5
Cumberland,2012,Both,All Ages,266,284050,93.6
Cumberland,2013,Both,All Ages,351,285866,122.8
Cumberland,2014,Both,All Ages,339,287797,117.8
Cumberland,2015,Both,All Ages,259,289977,89.3
Cumberland,2016,Both,All Ages,310,289977,106.9
Franklin,2001,Both,All Ages,0,29631,0
Franklin,2002,Both,All Ages,2,30019,6.7
Franklin,2003,Both,All Ages,2,30026,6.7
Franklin,2004,Both,All Ages,2,30096,6.6
Franklin,2005,Both,All Ages,0,30226,0
Franklin,2006,Both,All Ages,5,30528,16.4
Franklin,2007,Both,All Ages,1,30596,3.3
Franklin,2008,Both,All Ages,4,30652,13
Franklin,2009,Both,All Ages,15,30779,48.7
Franklin,2010,Both,All Ages,19,30704,61.9
Franklin,2011,Both,All Ages,6,30701,19.5
Franklin,2012,Both,All Ages,6,30627,19.6
Franklin,2013,Both,All Ages,11,30519,36
Franklin,2014,Both,All Ages,10,30296,33
